host,service
"SRV_PROD_DBA:9182","Quest KACE One Agent Service"
"SRV_PROD_DBA:9182","Quest KACE Offline Scheduler Service"
"SRV_PROD_DBA:9182","Quest KACE Agent WatchDog Service"
"SRV_PROD_DBA:9182","Symantec Endpoint Protection"
"ch-dba-sql10-p.servicemanagement.com:9182","Server Service"
"ch-dba-sql10-p.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-dba-sql10-p.servicemanagement.com:9182","Workstation Service"
"ch-dba-sql10-p.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-dba-sql10-p.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-dba-sql10-p.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-exch16-01-p.servicemanagement.com:9182","Server Service"
"ch-exch16-01-p.servicemanagement.com:9182","Workstation Service"
"ch-exch16-01-p.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-exch16-01-p.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-exch16-01-p.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-exch16-01-p.servicemanagement.com:9182","IIS Admin Service"
"ch-exch16-01-p.servicemanagement.com:9182","Certificate Propagation Service"
"ch-exch16-01-p.servicemanagement.com:9182","ForeScout SecureConnector Service"
"ch-exch16-01-p.servicemanagement.com:9182","Group Policy Client Service"
"ch-exch16-01-p.servicemanagement.com:9182","Microsoft Exchange Active Directory Topology Service"
"ch-exch16-01-p.servicemanagement.com:9182","Microsoft Exchange Anti-spam Update Service"
"ch-exch16-01-p.servicemanagement.com:9182","Microsoft Exchange Compliance Audit Service"
"ch-exch16-01-p.servicemanagement.com:9182","Microsoft Exchange Compliance Service"
"ch-exch16-01-p.servicemanagement.com:9182","Microsoft Exchange DAG Management Service"
"ch-exch16-01-p.servicemanagement.com:9182","Microsoft Exchange EdgeSync Service"
"ch-exch16-01-p.servicemanagement.com:9182","Microsoft Exchange Frontend Transport Service"
