service_name,name
"SMG.Data.Streaming.ElasticPersistence","SMG.Data.Streaming.ElasticPersistence"
"SMG.Data.Streaming.ElasticPersistence.Replication","SMG.Data.Streaming.ElasticPersistence.Replication"
"SMG.Data.Streaming.ElasticResponseMapper.DataLoad","SMG.Data.Streaming.ElasticResponseMapper.DataLoad"
"SMG.Data.Streaming.ElasticResponseMapper.Streaming","SMG.Data.Streaming.ElasticResponseMapper.Streaming"
"SMG.Data.Streaming.FactEnrichment.DataLoad","SMG.Data.Streaming.FactEnrichment.DataLoad"
"SMG.Data.Streaming.FactEnrichment.Streaming","SMG.Data.Streaming.FactEnrichment.Streaming"
"SMG.Data.Streaming.LegacyTa.ShimWriter","SMG.Data.Streaming.LegacyTa.ShimWriter"
"SMG.Data.Streaming.MissingTaReprocessor","SMG.Data.Streaming.MissingTaReprocessor"
"SMG.Data.Streaming.TabularMapper.DataLoad","SMG.Data.Streaming.TabularMapper.DataLoad"
"SMG.Data.Streaming.TabularMapper.Streaming","SMG.Data.Streaming.TabularMapper.Streaming"
"SMG.Data.Streaming.TextProcessing.DONOTDELETE","SMG.Data.Streaming.TextProcessing.DONOTDELETE"
"SMG.Data.Streaming.TextProcessing.DataLoad","SMG.Data.Streaming.TextProcessing.DataLoad"
"SMG.Data.Streaming.TextProcessing.DataLoad.01","SMG.Data.Streaming.TextProcessing.DataLoad.01"
"SMG.Data.Streaming.TextProcessing.DataLoad.02","SMG.Data.Streaming.TextProcessing.DataLoad.02"
"SMG.Data.Streaming.TextProcessing.DataLoad.03","SMG.Data.Streaming.TextProcessing.DataLoad.03"
"SMG.Data.Streaming.TextProcessing.DataLoad.04","SMG.Data.Streaming.TextProcessing.DataLoad.04"
"SMG.Data.Streaming.TextProcessing.DeadLetter.DataLoad","SMG.Data.Streaming.TextProcessing.DeadLetter.DataLoad"
"SMG.Data.Streaming.TextProcessing.DeadLetter.Streaming","SMG.Data.Streaming.TextProcessing.DeadLetter.Streaming"
"SMG.Data.Streaming.TextProcessing.Streaming","SMG.Data.Streaming.TextProcessing.Streaming"
"SMG.Data.Streaming.TextProcessing.Streaming.01","SMG.Data.Streaming.TextProcessing.Streaming.01"
"SMG.Data.Streaming.TextProcessing.Streaming.02","SMG.Data.Streaming.TextProcessing.Streaming.02"
"SMG.Data.Streaming.TextProcessing.Streaming.03","SMG.Data.Streaming.TextProcessing.Streaming.03"
"SMG.Data.Streaming.TextProcessing.Streaming.04","SMG.Data.Streaming.TextProcessing.Streaming.04"
"SMG.DevOps.Monitor","SMG.DevOps.Monitor"
"SMG.EMS.ConfigurationDetectionManagerService (Instance: 001)","SMG.EMS.ConfigurationDetectionManagerService$001"
"SMG.EMS.ConfigurationDetectionManagerService (Instance: 002)","SMG.EMS.ConfigurationDetectionManagerService$002"
"SMG.EMS.ConfigurationDetectionManagerService (Instance: 003)","SMG.EMS.ConfigurationDetectionManagerService$003"
"SMG.EMS.ConfigurationDetectionManagerService (Instance: 1)","SMG.EMS.ConfigurationDetectionManagerService$1"
